-2.80000 	-1.55000 
-2.80000 	-0.82000 
-2.80000 	-0.15000 
-2.80000 	1.29000 
-1.90000 	-1.55000 
-1.90000 	-0.60333 
-1.90000 	0.34333 
-1.90000 	1.29000 
-1.60000 	-1.55000 
-1.60000 	-0.60333 
-1.60000 	0.34333 
-1.60000 	1.29000 
-1.23000 	-1.55000 
-1.23000 	-0.60333 
-1.28000 	0.34333 
-1.28000 	1.29000 
-0.91000 	-1.55000 
-0.91000 	-0.60333 
-0.91000 	0.34333 
-0.91000 	1.29000 
-0.58000 	-1.55000 
-0.58000 	-0.60333 
-0.59000 	0.34333 
-0.59000 	1.29000 
-0.24000 	-1.55000 
-0.24000 	-0.60333 
-0.29000 	0.34333 
-0.29000 	1.29000 
0.06000 	-1.55000 
0.06000 	-0.60333 
0.03000 	0.34333 
0.03000 	1.29000 
0.40000 	-1.55000 
0.40000 	-0.60333 
0.35000 	0.34333 
0.35000 	1.29000 
0.71000 	-1.55000 
0.71000 	-0.60333 
0.67000 	0.34333 
0.67000 	1.29000 
1.10000 	-1.55000 
1.10000 	-0.60333 
1.03000 	0.34333 
1.03000 	1.29000 
1.39000 	-1.55000 
1.39000 	-0.60333 
1.32000 	0.34333 
1.32000 	1.29000 
1.70000 	-1.55000 
1.70000 	-0.60333 
1.62000 	0.34333 
1.62000 	1.29000 
2.05000 	-1.55000 
2.05000 	-0.60333 
2.05000 	0.34333 
2.05000 	1.29000 
2.35000 	-1.55000 
2.35000 	-0.60333 
2.35000 	0.34333 
2.35000 	1.29000 
